Unit,A Shift,B Shift,C Shift,No Shift,Total
AL1,35,23,30,5,93
SAFETY1,30,19,27,4,80
REHAB1,33,19,23,4,79
BC3,28,19,23,3,73
BC1,22,11,18,3,54
E6,19,10,14,2,45
E5,19,11,12,2,44
E17,19,11,12,1,43
BC2,16,9,12,2,39
E13,17,9,10,1,37
BC4,17,9,8,2,36
E20,12,14,7,3,36
E22,10,11,10,2,33
E1,13,5,12,1,31
E10,9,8,12,2,31
T3,10,6,13,2,31
T8,10,12,8,1,31
T10,11,8,9,2,30
E12,12,7,8,1,28
E15,12,5,10,1,28
E21,12,8,7,1,28
TOWER5,14,6,8,0,28
T2,13,4,8,0,25
T6,11,6,7,1,25
E14,8,6,8,1,23
E11,12,3,7,0,22
E23,6,6,7,2,21
E18,6,3,7,1,17
E24,5,5,3,1,14
E8,6,2,4,0,12
T9,5,3,3,1,12
T7,5,1,3,2,11
T5,2,3,4,1,10
E16,3,1,4,1,9
E19,5,0,3,0,8
CE9,3,1,0,1,5
E25,2,2,0,1,5
CE2,1,1,2,0,4
CE3,3,0,1,0,4
BR1,2,1,0,0,3
CBC1,2,0,0,0,2
CTSO,2,0,0,0,2
FM4,2,0,0,0,2
CBC3,0,0,0,1,1
CE11,0,0,1,0,1
CH1,0,0,1,0,1
E26,1,0,0,0,1
FT1,1,0,0,0,1
FT2,1,0,0,0,1
H1,0,0,1,0,1
H2,0,0,1,0,1
INV2,0,0,1,0,1
LOG2,1,0,0,0,1
